Fam_ID,Membership,ID,TGLA227_1,TGLA227_2,BM2113_1,BM2113_2,TGLA53_1,TGLA53_2,ETH10_1,ETH10_2,SPS115_1,SPS115_2,TGLA126_1,TGLA126_2,TGLA122_1,TGLA122_2,INRA23_1,INRA23_2,ETH3_1,ETH3_2,ETH225_1,ETH225_2,BM1824_1,BM1824_2
Fam_398,F,Fam_398_F,82.00,105.69,132.79,136.84,156.49,166.56,211.41,217.11,243.98,243.98,116.70,118.80,142.62,142.62,204.42,208.27,125.38,125.38,145.09,149.19,181.24,183.39
Fam_398,C,Fam_398_C,98.17,104.47,123.84,135.47,154.81,158.95,210.39,214.22,242.84,242.84,116.12,118.22,141.18,148.34,203.69,207.50,122.03,124.18,142.85,142.85,180.59,182.79
Fam_398,M,Fam_398_M,89.61,98.19,123.76,131.41,158.96,158.96,214.21,216.04,242.91,246.75,116.06,118.24,148.36,184.75,207.49,211.36,121.98,121.98,142.80,144.95,182.82,189.06
Fam_399,F,Fam_399_F,82.00,105.69,132.79,136.84,156.49,166.56,211.41,217.11,243.98,243.98,116.70,118.80,142.62,142.62,204.42,208.27,125.38,125.38,145.09,149.19,181.24,183.39
Fam_399,C,Fam_399_C,81.93,92.87,132.99,136.95,156.35,184.27,211.39,217.09,244.04,244.04,116.65,118.74,142.58,142.58,204.69,212.29,125.28,125.28,145.20,147.29,179.00,181.06
Fam_399,M,Fam_399_M,88.50,92.89,133.07,133.07,184.26,186.21,217.02,217.02,243.92,255.48,116.67,125.17,142.58,142.58,204.48,212.20,123.27,125.41,147.28,147.28,178.98,189.30
Fam_400,F,Fam_400_F,77.27,90.75,123.72,132.25,158.29,160.45,213.78,213.78,242.66,242.66,118.90,118.90,142.10,164.88,198.64,211.78,114.23,114.23,143.21,143.21,178.65,180.70
Fam_400,C,Fam_400_C,90.69,92.89,125.28,125.28,160.35,166.41,215.23,222.91,244.04,244.04,116.69,118.80,142.62,164.43,199.08,208.46,114.82,114.82,145.14,147.38,181.14,189.44
Fam_400,M,Fam_400_M,90.69,92.89,125.29,133.07,166.27,184.14,217.03,222.86,243.94,243.94,116.67,118.79,164.42,164.42,208.40,208.40,114.80,127.55,147.28,147.28,178.98,189.30
Fam_401,F,Fam_401_F,82.00,105.69,132.79,136.84,156.49,166.56,211.41,217.11,243.98,243.98,116.70,118.80,142.62,142.62,204.42,208.27,125.38,125.38,145.09,149.19,181.24,183.39
Fam_401,C,Fam_401_C,80.83,80.83,135.92,135.92,165.35,165.35,210.71,216.48,243.43,243.43,116.10,118.22,141.68,141.68,204.03,211.63,113.87,124.53,145.92,148.16,180.47,188.80
Fam_401,M,Fam_401_M,80.83,91.75,131.89,135.92,165.37,183.33,214.53,216.50,243.37,243.37,116.10,122.38,141.67,148.69,207.84,211.65,113.87,113.87,135.31,145.92,180.63,188.95
Fam_402,F,Fam_402_F,82.00,105.69,132.79,136.84,156.49,166.56,211.41,217.11,243.98,243.98,116.70,118.80,142.62,142.62,204.42,208.27,125.38,125.38,145.09,149.19,181.24,183.39
Fam_402,C,Fam_402_C,80.74,98.17,131.88,137.77,159.40,165.39,210.61,222.17,243.30,250.99,116.05,122.35,141.53,141.53,203.92,211.54,122.35,124.50,145.78,148.02,180.68,188.87
Fam_402,M,Fam_402_M,89.77,98.29,122.23,137.89,159.41,165.48,220.25,222.23,247.02,250.99,116.07,122.35,141.57,141.57,200.12,211.56,122.35,126.66,146.00,155.19,178.51,188.83
Fam_403,F,Fam_403_F,82.00,105.69,132.79,136.84,156.49,166.56,211.41,217.11,243.98,243.98,116.70,118.80,142.62,142.62,204.42,208.27,125.38,125.38,145.09,149.19,181.24,183.39
Fam_403,C,Fam_403_C,76.18,91.65,131.64,135.67,159.15,159.15,214.32,216.32,243.03,243.03,118.09,118.09,163.73,163.73,198.01,207.62,113.74,124.40,143.52,147.76,178.31,188.61
Fam_403,M,Fam_403_M,91.61,98.04,131.62,135.54,159.05,165.04,216.20,216.20,243.00,248.81,115.94,118.06,141.30,163.60,207.50,211.38,124.25,124.25,143.59,147.74,178.19,188.65
Fam_404,F,Fam_404_F,77.27,77.27,123.72,132.25,158.29,160.44,215.42,215.42,246.92,246.92,118.90,118.90,142.10,164.81,198.62,213.19,114.23,114.23,143.21,143.21,178.47,180.52
Fam_404,C,Fam_404_C,76.12,87.12,123.84,131.52,156.79,158.94,215.45,217.56,246.19,246.19,118.12,122.23,141.21,141.21,212.47,212.47,113.49,113.49,143.03,145.23,180.36,182.55
Fam_404,M,Fam_404_M,87.12,91.58,123.83,133.55,159.04,180.63,215.60,217.62,246.25,250.11,115.96,122.20,141.27,150.62,208.39,212.57,113.44,121.96,145.25,145.25,180.40,182.52
Fam_405,F,Fam_405_F,77.27,90.75,123.72,132.25,158.29,160.45,213.78,213.78,242.66,242.66,118.90,118.90,142.10,164.88,198.64,211.78,114.23,114.23,143.21,143.21,178.65,180.70
Fam_405,C,Fam_405_C,90.48,90.48,123.04,124.95,158.02,160.11,207.40,215.02,243.68,243.68,118.68,122.82,142.29,162.21,198.82,206.24,114.59,125.18,144.79,146.91,178.91,181.09
Fam_405,M,Fam_405_M,77.44,90.57,122.98,132.66,158.07,160.11,207.39,216.89,243.78,243.78,118.60,122.87,162.18,172.73,206.33,208.23,114.58,125.07,144.86,146.95,178.90,180.96
Fam_406,F,Fam_406_F,88.37,99.18,122.57,124.48,166.20,166.20,210.76,214.45,243.35,254.95,116.57,122.97,162.34,164.48,200.39,204.16,114.09,124.69,145.29,145.29,179.21,189.54
Fam_406,C,Fam_406_C,77.28,88.26,124.93,132.66,157.91,166.08,211.20,216.80,243.68,255.22,118.64,122.79,142.16,162.21,201.58,209.19,114.53,114.53,140.39,146.91,180.98,189.23
Fam_406,M,Fam_406_M,77.25,92.68,130.79,132.72,158.02,184.02,216.91,216.91,243.83,243.83,118.71,118.71,142.37,142.37,209.25,213.08,114.64,125.28,140.50,146.94,181.08,189.33
Fam_407,F,Fam_407_F,77.27,90.75,123.72,132.25,158.29,160.45,213.78,213.78,242.66,242.66,118.90,118.90,142.10,164.88,198.64,211.78,114.23,114.23,143.21,143.21,178.65,180.70
Fam_407,C,Fam_407_C,77.36,105.25,132.73,136.71,160.11,174.09,214.98,216.89,243.80,243.80,118.64,118.64,142.24,149.27,208.29,212.11,114.58,123.07,144.72,149.02,181.08,189.33
Fam_407,M,Fam_407_M,99.10,105.31,125.09,136.73,152.16,174.04,216.86,216.86,243.71,247.42,118.71,118.71,142.33,149.40,205.37,208.21,123.10,125.20,146.97,149.15,189.33,189.33
Fam_408,F,Fam_408_F,82.00,105.69,132.79,136.84,156.49,166.56,211.41,217.11,243.98,243.98,116.70,118.80,142.62,142.62,204.42,208.27,125.38,125.38,145.09,149.19,181.24,183.39
