Fam_ID,Offspring_ID,Parent_ID,Parent_Type,Total_Checked,Passed,Failed,Match_%,Failed_Markers,Status
Fam_104,Fam_104_C,Fam_104_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_105,Fam_105_C,Fam_105_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_105,Fam_105_C,Fam_105_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_484,Fam_484_C,Fam_484_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_484,Fam_484_C,Fam_484_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_106,Fam_106_C,Fam_106_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_106,Fam_106_C,Fam_106_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_485,Fam_485_C,Fam_485_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_485,Fam_485_C,Fam_485_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_486,Fam_486_C,Fam_486_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_486,Fam_486_C,Fam_486_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_107,Fam_107_C,Fam_107_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_107,Fam_107_C,Fam_107_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_108,Fam_108_C,Fam_108_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_108,Fam_108_C,Fam_108_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_109,Fam_109_C,Fam_109_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_109,Fam_109_C,Fam_109_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_110,Fam_110_C,Fam_110_F,พ่อ (F),11,8,3,72.7%,"ETH3, ETH225, TGLA122",❌ Mismatch (3)
Fam_110,Fam_110_C,Fam_110_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_111,Fam_111_C,Fam_111_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_111,Fam_111_C,Fam_111_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_112,Fam_112_C,Fam_112_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_112,Fam_112_C,Fam_112_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_113,Fam_113_C,Fam_113_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_113,Fam_113_C,Fam_113_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_114,Fam_114_C,Fam_114_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_114,Fam_114_C,Fam_114_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_115,Fam_115_C,Fam_115_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_115,Fam_115_C,Fam_115_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_116,Fam_116_C,Fam_116_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_116,Fam_116_C,Fam_116_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_117,Fam_117_C,Fam_117_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_117,Fam_117_C,Fam_117_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_118,Fam_118_C,Fam_118_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_118,Fam_118_C,Fam_118_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_119,Fam_119_C,Fam_119_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_119,Fam_119_C,Fam_119_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_120,Fam_120_C,Fam_120_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_120,Fam_120_C,Fam_120_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_121,Fam_121_C,Fam_121_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_121,Fam_121_C,Fam_121_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_122,Fam_122_C,Fam_122_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_122,Fam_122_C,Fam_122_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_123,Fam_123_C,Fam_123_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_123,Fam_123_C,Fam_123_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_124,Fam_124_C,Fam_124_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_124,Fam_124_C,Fam_124_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_125,Fam_125_C,Fam_125_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_125,Fam_125_C,Fam_125_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_126,Fam_126_C,Fam_126_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_126,Fam_126_C,Fam_126_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_127,Fam_127_C,Fam_127_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_127,Fam_127_C,Fam_127_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_128,Fam_128_C,Fam_128_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_128,Fam_128_C,Fam_128_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_129,Fam_129_C,Fam_129_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_129,Fam_129_C,Fam_129_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_130,Fam_130_C,Fam_130_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_130,Fam_130_C,Fam_130_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_131,Fam_131_C,Fam_131_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_131,Fam_131_C,Fam_131_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_132,Fam_132_C,Fam_132_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_132,Fam_132_C,Fam_132_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
Fam_133,Fam_133_C,Fam_133_F,พ่อ (F),11,11,0,100.0%,-,✅ Pass
Fam_133,Fam_133_C,Fam_133_M,แม่ (M),11,11,0,100.0%,-,✅ Pass
